"Year","Births","Population","CBR"
1860,887473.12317353,21720611.9249345,40.8585690974361
1861,827899.911152594,22369752.191467,37.0097935849463
1862,883566.330251274,23030920.3727738,38.3643517475659
1863,748205.051592289,23704109.7644134,31.5643598949055
1864,753243.699529637,24389313.757713,30.8841694773567
1865,676133.749913082,25086525.8420038,26.9520679814895
1866,806035.198378127,25795739.6067933,31.2468341929556
1867,825896.381199528,26516948.7438879,31.1459809790481
1868,936561.032471329,27250147.0494869,34.3690267348103
1869,809294.487317613,27995328.4262708,28.9081976462249
1870,963275.844197963,28752486.8855136,33.50234878929
1871,868622.549070484,29521617.0476482,29.423271349551
1872,932756.602967526,30302715.5991626,30.7812875686067
1873,947627.357887862,31095779.7250907,30.4744684412347
1874,1004347.47657383,31900806.5948244,31.4834508522044
1875,976775.325913467,32717793.3558268,29.8545600337533
1876,1006497.37388784,33546737.1271369,30.0028396226247
1877,1001086.36042148,34387634.9926765,29.1118118659418
1878,1006603.14418414,35240483.994375,28.5638285883023
1879,888379.758180898,36105281.1251374,24.6052580258788
1880,1092664.8981889,36982023.321696,29.545838762907
1881,1068003.46540253,37870707.556609,28.2013074037786
1882,1114215.36233335,38771331.1406104,28.7381250412184
1883,1118776.17343189,39683891.4381977,28.1921992245704
1884,1145000.56844822,40608385.7631736,28.1961606434153
1885,1137885.28579286,41544811.3701356,27.3893477492313
1886,1157874.35714939,42493165.4457457,27.2484844328141
1887,1131609.68315026,43453445.0998278,26.0418864499823
1888,1196875.84158809,44425647.3563586,26.9411007562231
1889,1172169.88898537,45409769.1444492,25.8131655604034
1890,1261668.5957217,46405807.2894541,27.1877307909354
1891,1199394.54783645,47413758.5043878,25.2963398319383
1892,1284004.50608115,48433619.3819004,26.5106040487443
1893,1271790.83377217,49465386.3871409,25.7107227227237
1894,1311325.9746957,50509055.8519488,25.9621953445226
1895,1272657.7253849,51564623.9709532,24.6808301385422
1896,1297028.70069005,52632086.8003413,24.6433075247482
1897,1270049.53119492,53711440.2602938,23.6457917538623
1898,1292214.38970665,54802680.1423896,23.5794013422188
1899,1196124.4587807,55905802.1236812,21.3953545668569
1900,1314479.22067586,57020801.7896596,23.0526260490821
1901,1301736.01712883,58147674.9635149,22.3867251432772
1902,1377444.30542532,59286418.7886403,23.2337242419043
1903,1372770.96091031,60437031.1996221,22.714070060392
1904,1444881.9984833,61599510.8133362,23.4560628713708
1905,1434941.94579928,62773857.116216,22.8589099303346
1906,1489768.9486979,63960070.6970542,23.2921717012192
1907,1489588.26654146,65158153.5371882,22.8611184583568
1908,1492183.99082384,66368109.3732732,22.4834488267757
1909,1345778.88710077,67589944.1522394,19.9109335564701
1910,1573391.488998,68823666.603768,22.8611982859957
1911,1533093.18687008,70069289.6641489,21.8796735947858
1912,1603899.68266797,71326833.8611744,22.4866238390685
1913,1604407.99488874,72596327.0833795,22.1004017606294
1914,1637383.75719671,73877805.6023116,22.1634054212552
1915,1631706.3760678,75171316.1319707,21.7065026931706
