Year,White_CBR,Source
1860,41.4,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1870,38.3,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1880,35.2,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1890,31.5,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1900,30.1,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1910,29.2,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1920,26.9,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1930,20.6,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1940,18.6,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1950,23,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1960,22.7,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1970,17.4,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1980,15.1,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
1990,15.8,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
2000,13.9,https://eh.net/encyclopedia/fertility-and-mortality-in-the-united-states/
2005,13.6,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2010,12.5,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2014,12,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2015,12,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2016,11.7,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2017,11.3,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2018,11.1,https://www.ncbi.nlm.nih.gov/books/NBK569311/table/ch3.tab1/
2019,10.9,https://www.cdc.gov/nchs/data/hus/2020-2021/Brth.pdf
